d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,area
0,35005,NM,Chaves County,5,13974,15734
1,13297,GA,Walton County,1,11385,1240
2,13137,GA,Habersham County,6,6500,723
3,54017,WV,Doddridge County,9,1460,830
4,55055,WI,Jefferson County,4,7618,2911
5,38065,ND,Oliver County,8,191,1894
6,13059,GA,Clarke County,3,31950,3244
7,36023,NY,Cortland County,4,7230,1299
8,21109,KY,Jackson County,9,4213,7257
9,54003,WV,Berkeley County,3,14461,3181
10,22079,LA,Rapides Parish,3,25575,3527
11,20037,KS,Crawford County,4,8318,1926
12,5145,AR,White County,4,11843,2700
13,5057,AR,Hempstead County,6,4483,1920
14,20117,KS,Marshall County,7,995,1614
15,37083,NC,Halifax County,4,13595,2149
16,51037,VA,Charlotte County,8,2488,2225
17,41065,OR,Wasco County,6,3624,6203
18,29067,MO,Douglas County,6,2607,13297
19,16045,ID,Gem County,2,3042,1465
20,38055,ND,McLean County,8,880,6030
21,28075,MS,Lauderdale County,5,17531,1862
22,4021,AZ,Pinal County,1,60679,13919
23,45013,SC,Beaufort County,5,18326,2390
24,47043,TN,Dickson County,1,6973,1272
25,47079,TN,Henry County,7,6187,1023
26,6023,CA,Humboldt County,5,26632,10495
27,1035,AL,Conecuh County,9,3464,2208
28,51640,VA,Galax city,6,1327,
29,39175,OH,Wyandot County,7,1881,1056
30,55073,WI,Marathon County,3,13941,4082
31,42065,PA,Jefferson County,7,5743,2911
32,12035,FL,Flagler County,4,11997,1478
33,12015,FL,Charlotte County,3,22087,2225
34,25019,MA,Nantucket County,7,697,
35,21231,KY,Wayne County,7,5390,1741
36,13055,GA,Chattooga County,6,4716,812
37,35047,NM,San Miguel County,6,6856,3337
38,42095,PA,Northampton County,2,27078,977
39,39013,OH,Belmont County,3,10135,1402
40,41055,OR,Sherman County,9,208,2153
41,21187,KY,Owen County,8,1923,1004
42,27133,MN,Rock County,6,877,1881
43,31117,NE,McPherson County,9,60,2334
44,8117,CO,Summit County,7,2398,4874
45,51005,VA,Alleghany County,6,2288,1162
46,13067,GA,Cobb County,1,73446,881
47,32003,NV,Clark County,1,311352,20955
48,20031,KS,Coffey County,6,861,1695
49,11001,DC,District of Columbia,1,119778,177
50,22105,LA,Tangipahoa Parish,4,27350,2132
51,31151,NE,Saline County,6,1526,1892
52,47063,TN,Hamblen County,3,11601,456
53,49035,UT,Salt Lake County,2,104297,2092
54,22035,LA,East Carroll Parish,7,2686,1146
55,21183,KY,Ohio County,6,4865,282
56,13123,GA,Gilmer County,6,4490,1118
57,46093,SD,Meade County,3,2666,9020
58,19159,IA,Ringgold County,9,696,1396
59,42129,PA,Westmoreland County,1,34269,
60,13105,GA,Elbert County,6,4197,4794
61,51077,VA,Grayson County,9,2593,2536
62,55077,WI,Marquette County,8,1781,8871
63,47017,TN,Carroll County,6,4894,2570
64,31039,NE,Cuming County,7,772,1488
65,19015,IA,Boone County,6,2389,1303
